2025-07-01 02:17:11 status unpacked php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:11 status half-configured php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:12 status installed php8.2-opcache:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:12 configure php8.2-readline:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:12 status unpacked php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:12 status half-configured php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:13 status installed php8.2-readline:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:13 configure libapr1:arm64 1.7.2-3+deb12u1 <none>
2025-07-01 02:17:13 status unpacked libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:17:13 status half-configured libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:17:13 status installed libapr1:arm64 1.7.2-3+deb12u1
2025-07-01 02:17:13 configure apache2-data:all 2.4.62-1~deb12u2 <none>
2025-07-01 02:17:13 status unpacked apache2-data:all 2.4.62-1~deb12u2
2025-07-01 02:17:13 status half-configured apache2-data:all 2.4.62-1~deb12u2
2025-07-01 02:17:13 status installed apache2-data:all 2.4.62-1~deb12u2
2025-07-01 02:17:13 configure php8.2-cli:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:13 status unpacked php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:13 status half-configured php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:15 status installed php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:15 status triggers-pending php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:15 configure libaprutil1:arm64 1.6.3-1 <none>
2025-07-01 02:17:15 status unpacked libaprutil1:arm64 1.6.3-1
2025-07-01 02:17:15 status half-configured libaprutil1:arm64 1.6.3-1
2025-07-01 02:17:15 status installed libaprutil1:arm64 1.6.3-1
2025-07-01 02:17:15 configure libaprutil1-ldap:arm64 1.6.3-1 <none>
2025-07-01 02:17:15 status unpacked libaprutil1-ldap:arm64 1.6.3-1
2025-07-01 02:17:15 status half-configured libaprutil1-ldap:arm64 1.6.3-1
2025-07-01 02:17:15 status installed libaprutil1-ldap:arm64 1.6.3-1
2025-07-01 02:17:15 configure libaprutil1-dbd-sqlite3:arm64 1.6.3-1 <none>
2025-07-01 02:17:15 status unpacked libaprutil1-dbd-sqlite3:arm64 1.6.3-1
2025-07-01 02:17:15 status half-configured libaprutil1-dbd-sqlite3:arm64 1.6.3-1
2025-07-01 02:17:15 status installed libaprutil1-dbd-sqlite3:arm64 1.6.3-1
2025-07-01 02:17:15 configure apache2-utils:arm64 2.4.62-1~deb12u2 <none>
2025-07-01 02:17:15 status unpacked apache2-utils:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:15 status half-configured apache2-utils:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:15 status installed apache2-utils:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:15 configure apache2-bin:arm64 2.4.62-1~deb12u2 <none>
2025-07-01 02:17:15 status unpacked apache2-bin:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:15 status half-configured apache2-bin:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:15 status installed apache2-bin:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:15 configure libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:15 status unpacked libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:15 status half-configured libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:17 status installed libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:17 status triggers-pending libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:17 configure apache2:arm64 2.4.62-1~deb12u2 <none>
2025-07-01 02:17:17 status unpacked apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:19 status half-configured apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:26 status installed apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:26 configure php8.2:all 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:26 status unpacked php8.2:all 8.2.28-1~deb12u1
2025-07-01 02:17:26 status half-configured php8.2:all 8.2.28-1~deb12u1
2025-07-01 02:17:26 status installed php8.2:all 8.2.28-1~deb12u1
2025-07-01 02:17:26 configure php:all 2:8.2+93 <none>
2025-07-01 02:17:26 status unpacked php:all 2:8.2+93
2025-07-01 02:17:26 status half-configured php:all 2:8.2+93
2025-07-01 02:17:26 status installed php:all 2:8.2+93
2025-07-01 02:17:26 trigproc man-db:arm64 2.11.2-2 <none>
2025-07-01 02:17:26 status half-configured man-db:arm64 2.11.2-2
2025-07-01 02:17:28 status installed man-db:arm64 2.11.2-2
2025-07-01 02:17:28 trigproc libc-bin:arm64 2.36-9+rpt2+deb12u10 <none>
2025-07-01 02:17:28 status half-configured libc-bin:arm64 2.36-9+rpt2+deb12u10
2025-07-01 02:17:31 status installed libc-bin:arm64 2.36-9+rpt2+deb12u10
